w,k,Output,Index,Symbol
ÿÿÿÿÿÿÿÿÿÿÿÿÿ,Ā,554,695,ÿÿÿÿÿÿÿÿÿÿÿÿÿĀ
Āþÿÿ,þ,544,696,Āþÿÿþ
þÿþ,þ,649,697,þÿþþ
þÿ,ý,523,698,þÿý
ý,þ,253,699,ýþ
þþ,þ,595,700,þþþ
þ,ý,254,701,þý
ý,ü,253,702,ýü
ü,ÿ,252,703,üÿ
ÿþÿ,ý,551,704,ÿþÿý
ýÿ,ÿ,654,705,ýÿÿ
ÿĀ,ā,538,706,ÿĀā
ā,ā,257,707,āā
āā,Ă,707,708,āāĂ
Ă,ÿ,258,709,Ăÿ
ÿ,ā,255,710,ÿā
ā,Ā,257,711,āĀ
ĀĀ,Ā,546,712,ĀĀĀ
ĀÿĀÿ,þ,606,713,ĀÿĀÿþ
þÿĀĀ,þ,652,714,þÿĀĀþ
þÿÿÿÿÿÿÿÿ,ÿ,588,715,þÿÿÿÿÿÿÿÿÿ
ÿÿÿþ,ÿ,660,716,ÿÿÿþÿ
ÿĀÿÿÿÿ,ÿ,655,717,ÿĀÿÿÿÿÿ
ÿÿþ,ÿ,522,718,ÿÿþÿ
ÿÿÿĀÿÿ,Ā,626,719,ÿÿÿĀÿÿĀ
Āÿÿÿÿÿÿÿÿÿ,ÿ,688,720,Āÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,ÿ,689,721,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿþ,þ,675,722,ÿÿÿÿÿÿÿÿÿÿÿÿþþ
þĀ,Ā,525,723,þĀĀ
Āþÿÿÿÿÿ,ÿ,639,724,Āþÿÿÿÿÿÿ
ÿÿÿþĀÿ,ÿ,694,725,ÿÿÿþĀÿÿ
ÿÿÿÿÿÿÿÿ,Ā,519,726,ÿÿÿÿÿÿÿÿĀ
ĀþĀÿ,þ,578,727,ĀþĀÿþ
þÿÿĀ,ý,585,728,þÿÿĀý
ýĀÿ,ÿ,659,729,ýĀÿÿ
ÿÿÿÿÿĀ,þ,621,730,ÿÿÿÿÿĀþ
þþÿĀ,ÿ,676,731,þþÿĀÿ
