w,k,Output,Index,Symbol
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,554,ÿÿÿÿÿÿÿÿÿÿÿÿÿ,647,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿ,523,þÿ,648,ÿÿÿÿÿÿÿÿÿÿÿÿÿþ
þÿ,537,þÿÿÿ,649,þÿþ
þÿÿÿ,541,Āÿÿÿ,650,þÿÿÿĀ
Āÿÿÿ,527,þÿĀ,651,Āÿÿÿþ
þÿĀ,256,Ā,652,þÿĀĀ
Ā,253,ý,653,Āý
ý,567,ÿĀÿÿÿ,654,ýÿ
ÿĀÿÿÿ,518,ÿÿÿÿÿÿÿ,655,ÿĀÿÿÿÿ
ÿÿÿÿÿÿÿ,622,Āþÿÿÿÿ,656,ÿÿÿÿÿÿÿĀ
Āþÿÿÿÿ,525,þĀ,657,Āþÿÿÿÿþ
þĀ,543,ýĀ,658,þĀý
ýĀ,514,ÿÿÿ,659,ýĀÿ
ÿÿÿ,649,þÿþ,660,ÿÿÿþ
þÿþ,580,ÿÿÿÿÿþĀ,661,þÿþÿ
ÿÿÿÿÿþĀ,650,þÿÿÿĀ,662,ÿÿÿÿÿþĀþ
þÿÿÿĀ,545,ÿÿĀ,663,þÿÿÿĀÿ
ÿÿĀ,581,Āÿÿÿÿ,664,ÿÿĀĀ
Āÿÿÿÿ,531,Āþÿ,665,ĀÿÿÿÿĀ
Āþÿ,665,ĀÿÿÿÿĀ,666,ĀþÿĀ
ĀÿÿÿÿĀ,640,ÿÿÿÿþÿÿ,667,ĀÿÿÿÿĀÿ
ÿÿÿÿþÿÿ,582,ÿÿþĀ,668,ÿÿÿÿþÿÿÿ
ÿÿþĀ,561,ÿÿĀþÿ,669,ÿÿþĀÿ
ÿÿĀþÿ,561,ÿÿĀþÿ,670,ÿÿĀþÿÿ
ÿÿĀþÿ,585,þÿÿĀ,671,ÿÿĀþÿþ
þÿÿĀ,630,Āÿÿÿÿÿÿÿ,672,þÿÿĀĀ
Āÿÿÿÿÿÿÿ,647,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,673,Āÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,553,ÿÿÿÿÿÿÿÿÿÿÿÿ,674,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿ,633,þþÿ,675,ÿÿÿÿÿÿÿÿÿÿÿÿþ
þþÿ,614,ĀÿÿÿĀ,676,þþÿĀ
ĀÿÿÿĀ,534,þÿÿ,677,ĀÿÿÿĀþ
þÿÿ,645,þĀÿÿ,678,þÿÿþ
þĀÿÿ,598,ÿþÿÿĀ,679,þĀÿÿÿ
ÿþÿÿĀ,660,ÿÿÿþ,680,ÿþÿÿĀÿ
ÿÿÿþ,615,Āÿþ,681,ÿÿÿþĀ
Āÿþ,575,ĀĀþ,682,ĀÿþĀ
ĀĀþ,549,þÿÿÿÿ,683,ĀĀþþ
þÿÿÿÿ,620,āÿ,684,þÿÿÿÿā
āÿ,663,þÿÿÿĀÿ,685,āÿþ
þÿÿÿĀÿ,557,þÿÿÿÿÿ,686,þÿÿÿĀÿþ
þÿÿÿÿÿ,673,Āÿÿÿÿÿÿÿÿ,687,þÿÿÿÿÿĀ
Āÿÿÿÿÿÿÿÿ,674,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,688,Āÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,689,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,689,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,525,þĀ,690,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿþ
þĀ,633,þþÿ,691,þĀþ
þþÿ,641,ÿÿÿĀÿÿÿ,692,þþÿÿ
ÿÿÿĀÿÿÿ,681,ÿÿÿþĀ,693,ÿÿÿĀÿÿÿÿ
ÿÿÿþĀ,554,ÿÿÿÿÿÿÿÿÿÿÿÿÿ,694,ÿÿÿþĀÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿ,544,Āþÿÿ,695,ÿÿÿÿÿÿÿÿÿÿÿÿÿĀ
Āþÿÿ,649,þÿþ,696,Āþÿÿþ
þÿþ,523,þÿ,697,þÿþþ
þÿ,253,ý,698,þÿý
ý,595,þþ,699,ýþ
þþ,254,þ,700,þþþ
þ,253,ý,701,þý
ý,252,ü,702,ýü
ü,551,ÿþÿ,703,üÿ
ÿþÿ,654,ýÿ,704,ÿþÿý
ýÿ,538,ÿĀ,705,ýÿÿ
ÿĀ,257,ā,706,ÿĀā
ā,707,āā,707,āā
āā,258,Ă,708,āāĂ
Ă,255,ÿ,709,Ăÿ
ÿ,257,ā,710,ÿā
ā,546,ĀĀ,711,āĀ
ĀĀ,606,ĀÿĀÿ,712,ĀĀĀ
ĀÿĀÿ,652,þÿĀĀ,713,ĀÿĀÿþ
þÿĀĀ,588,þÿÿÿÿÿÿÿÿ,714,þÿĀĀþ
þÿÿÿÿÿÿÿÿ,660,ÿÿÿþ,715,þÿÿÿÿÿÿÿÿÿ
ÿÿÿþ,655,ÿĀÿÿÿÿ,716,ÿÿÿþÿ
ÿĀÿÿÿÿ,522,ÿÿþ,717,ÿĀÿÿÿÿÿ
ÿÿþ,626,ÿÿÿĀÿÿ,718,ÿÿþÿ
ÿÿÿĀÿÿ,688,Āÿÿÿÿÿÿÿÿÿ,719,ÿÿÿĀÿÿĀ
Āÿÿÿÿÿÿÿÿÿ,689,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,720,Āÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,675,ÿÿÿÿÿÿÿÿÿÿÿÿþ,721,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
