w,k,Output,Index,Symbol
Ăÿÿÿÿÿ,ÿ,679,697,Ăÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿ,þ,521,698,ÿÿÿÿÿÿÿÿÿÿþ
þĀÿÿÿ,þ,650,699,þĀÿÿÿþ
þýÿĂ,ÿ,696,700,þýÿĂÿ
ÿÿþ,ü,545,701,ÿÿþü
üÿ,Ă,597,702,üÿĂ
ĂĀ,ÿ,539,703,ĂĀÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,ÿ,693,704,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,þ,704,705,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿþ
þýÿ,þ,557,706,þýÿþ
þÿÿĀ,ā,638,707,þÿÿĀā
āĀÿÿÿÿ,ÿ,687,708,āĀÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,ö,575,709,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿö
ö,ñ,246,710,öñ
ñ,ó,241,711,ñó
ó,û,243,712,óû
û,ñ,251,713,ûñ
ñ,ü,241,714,ñü
ü,ù,252,715,üù
ù,ù,249,716,ùù
ù,ú,249,717,ùú
ú,ý,250,718,úý
ýþ,þ,644,719,ýþþ
þ,þ,254,720,þþ
þĀÿ,ā,533,721,þĀÿā
ā,ā,257,722,āā
ā,Ă,257,723,āĂ
Ă,Ă,258,724,ĂĂ
Ă,ā,258,725,Ăā
ā,ć,257,726,āć
ć,Ą,263,727,ćĄ
Ą,ĉ,260,728,Ąĉ
ĉ,Ċ,265,729,ĉĊ
Ċ,Ċ,266,730,ĊĊ
Ċ,Č,266,731,ĊČ
Č,Ć,268,732,ČĆ
Ć,ÿ,262,733,Ćÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿþ,ÿ,588,734,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿþÿ
ÿÿÿĀ,ÿ,591,735,ÿÿÿĀÿ
ÿÿÿÿÿÿþÿ,Ā,628,736,ÿÿÿÿÿÿþÿĀ
Āÿÿÿÿÿÿÿÿÿÿÿ,ÿ,662,737,Āÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,ÿ,704,738,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿþý,ā,684,739,ÿÿþýā
āĀÿÿÿ,þ,666,740,āĀÿÿÿþ
þÿÿĀÿ,ÿ,670,741,þÿÿĀÿÿ
ÿÿü,ā,600,742,ÿÿüā
āĀÿÿÿÿÿ,ÿ,708,743,āĀÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿþ,ý,595,744,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿþý
ýÿ,Ă,535,745,ýÿĂ
Ăÿÿ,þ,599,746,Ăÿÿþ
þüÿ,Ā,617,747,þüÿĀ
Ā,ā,256,748,Āā
āĀÿÿÿÿÿÿ,ÿ,743,749,āĀÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,ÿ,738,750,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,þ,651,751,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿþ
þĀÿ,ý,533,752,þĀÿý
ýāÿÿ,ÿ,590,753,ýāÿÿÿ
ÿþ,þ,563,754,ÿþþ
þĀ,Ā,524,755,þĀĀ
Āÿÿÿ,ý,540,756,Āÿÿÿý
ý,ý,253,757,ýý
ý,Ă,253,758,ýĂ
ĂĀÿ,ÿ,703,759,ĂĀÿÿ
ÿÿÿÿÿ,ú,516,760,ÿÿÿÿÿú
ú,ò,250,761,úò
ò,æ,242,762,òæ
æ,ö,230,763,æö
ö,î,246,764,öî
î,õ,238,765,îõ
õ,ý,245,766,õý
ý,ą,253,767,ýą
ą,Ą,261,768,ąĄ
Ą,Ą,260,769,ĄĄ
Ą,ą,260,770,Ąą
ą,ă,261,771,ąă
ă,ą,259,772,ăą
ąĄ,ą,768,773,ąĄą
ą,Ā,261,774,ąĀ
Āā,þ,748,775,Āāþ
þÿÿÿ,ý,586,776,þÿÿÿý
ýÿ,ü,535,777,ýÿü
ü,û,252,778,üû
û,ý,251,779,ûý
ý,ø,253,780,ýø
ø,ù,248,781,øù
ù,ø,249,782,ùø
ø,ø,248,783,øø
ø,ü,248,784,øü
ü,ā,252,785,üā
ā,ą,257,786,āą
ą,Ć,261,787,ąĆ
Ć,ď,262,788,Ćď
ď,Ē,271,789,ďĒ
Ē,Ē,274,790,ĒĒ
Ē,ć,274,791,Ēć
ć,ÿ,263,792,ćÿ
ÿÿÿÿÿÿÿÿÿÿÿÿ,ý,541,793,ÿÿÿÿÿÿÿÿÿÿÿÿý
ýā,þ,528,794,ýāþ
þýþĀ,ÿ,664,795,þýþĀÿ
ÿþ,Ā,563,796,ÿþĀ
Āā,Ā,748,797,ĀāĀ
Āÿÿ,þ,531,798,Āÿÿþ
þþ,Ā,720,799,þþĀ
Ā,Ā,256,800,ĀĀ
Āÿÿÿÿÿÿÿÿÿÿÿÿ,ÿ,737,801,Āÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿþ,ý,705,802,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿþý
ýþ,Ă,644,803,ýþĂ
ĂĀÿÿ,ü,759,804,ĂĀÿÿü
üþ,ü,601,805,üþü
ü,Ā,252,806,üĀ
Ā,ą,256,807,Āą
ą,ÿ,261,808,ąÿ
ÿÿÿ,û,514,809,ÿÿÿû
û,ă,251,810,ûă
ă,ÿ,259,811,ăÿ
ÿÿÿ,ø,514,812,ÿÿÿø
ø,ò,248,813,øò
ò,ø,242,814,òø
ø,ý,248,815,øý
ýþ,Č,644,816,ýþČ
Č,ć,268,817,Čć
ć,Ĉ,263,818,ćĈ
Ĉ,ÿ,264,819,Ĉÿ
ÿÿÿÿÿþ,Ā,550,820,ÿÿÿÿÿþĀ
Āþ,Ā,607,821,ĀþĀ
Āþ,ú,607,822,Āþú
ú,Ą,250,823,úĄ
Ą,ÿ,260,824,Ąÿ
ÿÿþ,ā,545,825,ÿÿþā
āÿÿ,ü,641,826,āÿÿü
ü,ü,252,827,üü
ü,Ă,252,828,üĂ
Ăā,Ā,725,829,ĂāĀ
Āÿÿÿÿÿÿÿÿÿÿÿÿÿ,ÿ,801,830,Āÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,ÿ,750,831,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ
ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿ,ý,575,832,ÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿÿý
ýāÿÿÿ,þ,753,833,ýāÿÿÿþ
þÿýā,Ā,640,834,þÿýāĀ
Āÿÿÿÿÿÿÿÿ,ö,627,835,Āÿÿÿÿÿÿÿÿö
ö,é,246,836,öé
é,ç,233,837,éç
ç,î,231,838,çî
î,ö,238,839,îö
ö,ā,246,840,öā
ā,ċ,257,841,āċ
ċ,Ď,267,842,ċĎ
Ď,Ċ,270,843,ĎĊ
Ċ,ċ,266,844,Ċċ
ċ,ċ,267,845,ċċ
ċ,ĉ,267,846,ċĉ
ĉ,ą,265,847,ĉą
ąĀ,ÿ,774,848,ąĀÿ
ÿÿÿÿÿÿÿÿÿÿþ,Ā,698,849,ÿÿÿÿÿÿÿÿÿÿþĀ
Āÿÿÿÿÿÿÿÿÿÿ,õ,658,850,Āÿÿÿÿÿÿÿÿÿÿõ
õ,õ,245,851,õõ
õ,ú,245,852,õú
ú,ð,250,853,úð
ð,ó,240,854,ðó
ó,ë,243,855,óë
ë,õ,235,856,ëõ
õ,Ā,245,857,õĀ
Ā,Ĉ,256,858,ĀĈ
Ĉ,ė,264,859,Ĉė
ė,Ę,279,860,ėĘ
Ę,Ė,280,861,ĘĖ
Ė,ÿ,278,862,Ėÿ
ÿÿÿÿÿÿÿÿÿý,ý,624,863,ÿÿÿÿÿÿÿÿÿýý
ýÿÿ,Ā,537,864,ýÿÿĀ
Āÿā,ÿ,665,865,Āÿāÿ
ÿþ,ü,563,866,ÿþü
üĂ,þ,828,867,üĂþ
þÿ,û,551,868,þÿû
û,ą,251,869,ûą
ąĀÿ,ÿ,848,870,ąĀÿÿ
